Geographic Area,Year,Population
Michigan,2002,10039223.0
Minnesota,2002,5017355.0
Mississippi,2002,2858076.0
Missouri,2002,5679158.0
Montana,2002,909722.0
Nebraska,2002,1724577.0
Nevada,2002,2165828.0
New Hampshire,2002,1270962.0
New Jersey,2002,8543281.0
New Mexico,2002,1849187.0
New York,2002,19161568.0
North Carolina,2002,8311105.0
North Dakota,2002,633210.0
Ohio,2002,11420660.0
Oklahoma,2002,3483149.0
Oregon,2002,3516661.0
Pennsylvania,2002,12324237.0
Rhode Island,2002,1066919.0
South Carolina,2002,4102227.0
South Dakota,2002,761633.0
Tennessee,2002,5802304.0
Texas,2002,21705766.0
Utah,2002,2334425.0
Vermont,2002,614753.0
Virginia,2002,7277452.0
Washington,2002,6056348.0
West Virginia,2002,1799219.0
Wisconsin,2002,5446571.0
Wyoming,2002,496930.0
United States,2003,290242027.0
Northeast,2003,54378581.0
Midwest,2003,65335106.0
South,2003,104353923.0
West,2003,66174417.0
Alabama,2003,4489876.0
Alaska,2003,647671.0
Arizona,2003,5590820.0
Arkansas,2003,2722804.0
California,2003,35236589.0
Colorado,2003,4545766.0
Connecticut,2003,3468319.0
Delaware,2003,815525.0
District of Columbia,2003,577844.0
Florida,2003,16974177.0
Georgia,2003,8727810.0
Hawaii,2003,1231632.0
Idaho,2003,1363672.0
Illinois,2003,12599246.0
Indiana,2003,6184552.0
Iowa,2003,2934585.0
Kansas,2003,2720361.0
Kentucky,2003,4117691.0
Louisiana,2003,4473198.0
Maine,2003,1302365.0
Maryland,2003,5491971.0
Massachusetts,2003,6455028.0
Michigan,2003,10072219.0
Minnesota,2003,5050393.0
Mississippi,2003,2866386.0
Missouri,2003,5713051.0
Montana,2003,916620.0
Nebraska,2003,1733099.0
Nevada,2003,2236378.0
New Hampshire,2003,1282146.0
New Jersey,2003,8585567.0
New Mexico,2003,1868121.0
New York,2003,19235015.0
North Carolina,2003,8399815.0
North Dakota,2003,631680.0
Ohio,2003,11450398.0
Oklahoma,2003,3495502.0
Oregon,2003,3551290.0
Pennsylvania,2003,12360988.0
Rhode Island,2003,1072453.0
South Carolina,2003,4141080.0
South Dakota,2003,765980.0
Tennessee,2003,5856712.0
Texas,2003,22048452.0
Utah,2003,2378255.0
Vermont,2003,616700.0
Virginia,2003,7352164.0
Washington,2003,6108738.0
West Virginia,2003,1802916.0
Wisconsin,2003,5479542.0
Wyoming,2003,498865.0
United States,2004,292936109.0
Northeast,2004,54516501.0
Midwest,2004,65586267.0
South,2004,105804145.0
West,2004,67029196.0
Alabama,2004,4510588.0
Alaska,2004,659305.0
Arizona,2004,5758692.0
Arkansas,2004,2746215.0
California,2004,35538256.0
Colorado,2004,4595674.0
Connecticut,2004,3474379.0
Delaware,2004,827154.0
District of Columbia,2004,579890.0
Florida,2004,17366358.0
Georgia,2004,8907292.0
Hawaii,2004,1246872.0
Idaho,2004,1391127.0
Illinois,2004,12644218.0
Indiana,2004,6214844.0
Iowa,2004,2942311.0
Kansas,2004,2729378.0
Kentucky,2004,4145777.0
Louisiana,2004,4487246.0
Maine,2004,1307227.0
Maryland,2004,5537913.0
Massachusetts,2004,6452636.0
Michigan,2004,10091511.0
Minnesota,2004,5080031.0
Mississippi,2004,2884920.0
Missouri,2004,5755931.0
Montana,2004,925711.0
Nebraska,2004,1741417.0
Nevada,2004,2327547.0
New Hampshire,2004,1292566.0
New Jersey,2004,8610474.0
New Mexico,2004,1890215.0
New York,2004,19297907.0
North Carolina,2004,8517909.0
North Dakota,2004,635480.0
Ohio,2004,11465854.0
Oklahoma,2004,3511467.0
Oregon,2004,3573214.0
Pennsylvania,2004,12387357.0
Rhode Island,2004,1075835.0
South Carolina,2004,4196549.0
South Dakota,2004,773087.0
Tennessee,2004,5918897.0
Texas,2004,22408514.0
Utah,2004,2438195.0
Vermont,2004,618120.0
Virginia,2004,7453994.0
Washington,2004,6181646.0
West Virginia,2004,1803462.0
Wisconsin,2004,5512205.0
Wyoming,2004,502742.0
United States,2005,295618454.0
Northeast,2005,54595246.0
Midwest,2005,65801226.0
South,2005,107332739.0
West,2005,67889243.0
Alabama,2005,4542912.0
Alaska,2005,667114.0
Arizona,2005,5973970.0
Arkansas,2005,2776257.0
California,2005,35770688.0
Colorado,2005,4655731.0
Connecticut,2005,3477185.0
Delaware,2005,840296.0
District of Columbia,2005,582049.0
Florida,2005,17773291.0
Georgia,2005,9090479.0
Hawaii,2005,1259147.0
Idaho,2005,1425226.0
Illinois,2005,12672835.0
Indiana,2005,6253142.0
Iowa,2005,2950517.0
Kansas,2005,2739997.0
Kentucky,2005,4179655.0
Louisiana,2005,4495113.0
Maine,2005,1310424.0
Maryland,2005,5576889.0
Massachusetts,2005,6453694.0
Michigan,2005,10092426.0
Minnesota,2005,5106992.0
Mississippi,2005,2899300.0
Missouri,2005,5803587.0
Montana,2005,934656.0
Nebraska,2005,1750772.0
Nevada,2005,2407073.0
New Hampshire,2005,1301050.0
New Jersey,2005,8619564.0
New Mexico,2005,1914699.0
New York,2005,19329398.0
North Carolina,2005,8655414.0
North Dakota,2005,634528.0
Ohio,2005,11475559.0
Oklahoma,2005,3530037.0
Oregon,2005,3617086.0
Pennsylvania,2005,12415908.0
Rhode Island,2005,1069226.0
South Carolina,2005,4250989.0
South Dakota,2005,778775.0
Tennessee,2005,5997481.0
Texas,2005,22790696.0
Utah,2005,2498863.0
Vermont,2005,618797.0
Virginia,2005,7547753.0
Washington,2005,6258988.0
West Virginia,2005,1804128.0
Wisconsin,2005,5542096.0
Wyoming,2005,506002.0
United States,2006,298431771.0
Northeast,2006,54698799.0
Midwest,2006,66066820.0
South,2006,108852101.0
West,2006,68814051.0
Alabama,2006,4594911.0
Alaska,2006,675322.0
Arizona,2006,6190987.0
Arkansas,2006,2814910.0
California,2006,35947461.0
Colorado,2006,4747872.0
Connecticut,2006,3484531.0
Delaware,2006,853301.0
District of Columbia,2006,583841.0
Florida,2006,18076361.0
Georgia,2006,9323575.0
Hawaii,2006,1269228.0
Idaho,2006,1463631.0
Illinois,2006,12714588.0
Indiana,2006,6300341.0
Iowa,2006,2965203.0
Kansas,2006,2754018.0
Kentucky,2006,4216783.0
Louisiana,2006,4237693.0
Maine,2006,1313479.0
Maryland,2006,5605552.0
Massachusetts,2006,6466069.0
Michigan,2006,10082414.0
Minnesota,2006,5147857.0
Mississippi,2006,2896691.0
Missouri,2006,5857974.0
Montana,2006,946059.0
Nebraska,2006,1759327.0
Nevada,2006,2491122.0
New Hampshire,2006,1311184.0
New Jersey,2006,8619354.0
New Mexico,2006,1940631.0
New York,2006,19353588.0
North Carolina,2006,8853849.0
North Dakota,2006,636019.0
Ohio,2006,11490596.0
Oklahoma,2006,3571612.0
Oregon,2006,3675743.0
Pennsylvania,2006,12466485.0
Rhode Island,2006,1064193.0
South Carolina,2006,4334146.0
South Dakota,2006,786973.0
Tennessee,2006,6090290.0
Texas,2006,23356591.0
Utah,2006,2582234.0
Vermont,2006,619916.0
Virginia,2006,7633859.0
Washington,2006,6371097.0
West Virginia,2006,1808136.0
Wisconsin,2006,5571510.0
Wyoming,2006,512664.0
United States,2007,301393632.0
Northeast,2007,54868196.0
Midwest,2007,66344701.0
South,2007,110479851.0
West,2007,69700884.0
Alabama,2007,4634063.0
Alaska,2007,679893.0
Arizona,2007,6360238.0
Arkansas,2007,2841595.0
California,2007,36185908.0
Colorado,2007,4837229.0
Connecticut,2007,3488084.0
Delaware,2007,865314.0
District of Columbia,2007,585916.0
Florida,2007,18262096.0
Georgia,2007,9526642.0
Hawaii,2007,1269796.0
Idaho,2007,1498390.0
Illinois,2007,12775864.0
Indiana,2007,6344771.0
Iowa,2007,2979867.0
Kansas,2007,2773740.0
Kentucky,2007,4254513.0
Louisiana,2007,4373448.0
Maine,2007,1315749.0
Maryland,2007,5627211.0
Massachusetts,2007,6499672.0
Michigan,2007,10051145.0
Minnesota,2007,5191267.0
Mississippi,2007,2920312.0
Missouri,2007,5905750.0
Montana,2007,957123.0
Nebraska,2007,1768745.0
Nevada,2007,2564816.0
New Hampshire,2007,1316496.0
New Jersey,2007,8630810.0
New Mexico,2007,1966357.0
New York,2007,19419540.0
North Carolina,2007,9047856.0
North Dakota,2007,637534.0
Ohio,2007,11518989.0
Oklahoma,2007,3608759.0
Oregon,2007,3730833.0
Pennsylvania,2007,12517701.0
Rhode Island,2007,1059706.0
South Carolina,2007,4417059.0
South Dakota,2007,795521.0
Tennessee,2007,6172788.0
Texas,2007,23824518.0
Utah,2007,2662908.0
Vermont,2007,620438.0
Virginia,2007,7705466.0
Washington,2007,6464167.0
West Virginia,2007,1812295.0
Wisconsin,2007,5601508.0
Wyoming,2007,523226.0
United States,2008,304177401.0
Northeast,2008,55049539.0
Midwest,2008,66572128.0
South,2008,111929667.0
West,2008,70626067.0
Alabama,2008,4673889.0
Alaska,2008,685532.0
Arizona,2008,6499207.0
Arkansas,2008,2867099.0
California,2008,36538008.0
Colorado,2008,4928676.0
Connecticut,2008,3502664.0
Delaware,2008,876794.0
District of Columbia,2008,589929.0
Florida,2008,18410241.0
Georgia,2008,9690277.0
Hawaii,2008,1280001.0
Idaho,2008,1526295.0
Illinois,2008,12836402.0
Indiana,2008,6386601.0
Iowa,2008,2994658.0
Kansas,2008,2795257.0
Kentucky,2008,4287259.0
Louisiana,2008,4448806.0
Maine,2008,1318133.0
Maryland,2008,5650870.0
Massachusetts,2008,6544089.0
Michigan,2008,9999456.0
Minnesota,2008,5230247.0
Mississippi,2008,2939234.0
Missouri,2008,5951844.0
Montana,2008,967717.0
Nebraska,2008,1780143.0
Nevada,2008,2612460.0
New Hampshire,2008,1320981.0
New Jersey,2008,8657319.0
New Mexico,2008,1984179.0
New York,2008,19464482.0
North Carolina,2008,9230086.0
North Dakota,2008,640525.0
Ohio,2008,11526691.0
Oklahoma,2008,3640241.0
Oregon,2008,3780596.0
Pennsylvania,2008,12562536.0
Rhode Island,2008,1058368.0
South Carolina,2008,4497746.0
South Dakota,2008,803047.0
Tennessee,2008,6239542.0
Texas,2008,24290611.0
Utah,2008,2724685.0
Vermont,2008,620967.0
Virginia,2008,7780691.0
Washington,2008,6566085.0
West Virginia,2008,1816352.0
Wisconsin,2008,5627257.0
Wyoming,2008,532626.0
United States,2009,306656290.0
Northeast,2009,55242435.0
Midwest,2009,66770813.0
South,2009,113185196.0
West,2009,71457846.0
Alabama,2009,4707496.0
Alaska,2009,694690.0
Arizona,2009,6587653.0
Arkansas,2009,2887331.0
California,2009,36887615.0
Colorado,2009,5015155.0
Connecticut,2009,3514826.0
Delaware,2009,884124.0
District of Columbia,2009,599975.0
Florida,2009,18509936.0
Georgia,2009,9813588.0
Hawaii,2009,1288285.0
Idaho,2009,1544465.0
Illinois,2009,12893278.0
Indiana,2009,6417276.0
Iowa,2009,3008331.0
Kansas,2009,2817430.0
Kentucky,2009,4312268.0
Louisiana,2009,4489490.0
Maine,2009,1315889.0
Maryland,2009,5688399.0
Massachusetts,2009,6592205.0
Michigan,2009,9955260.0
Minnesota,2009,5262824.0
Mississippi,2009,2949943.0
Missouri,2009,5982234.0
Montana,2009,974163.0
Nebraska,2009,1794852.0
Nevada,2009,2638588.0
New Hampshire,2009,1322181.0
New Jersey,2009,8693723.0
New Mexico,2009,2007315.0
New York,2009,19522612.0
North Carolina,2009,9357107.0
North Dakota,2009,645903.0
Ohio,2009,11531860.0
Oklahoma,2009,3685640.0
Oregon,2009,3823058.0
Pennsylvania,2009,12602112.0
Rhode Island,2009,1057451.0
South Carolina,2009,4554258.0
South Dakota,2009,810814.0
Tennessee,2009,6291220.0
Texas,2009,24770651.0
Utah,2009,2780871.0
Vermont,2009,621436.0
Virginia,2009,7862480.0
Washington,2009,6671597.0
West Virginia,2009,1821290.0
Wisconsin,2009,5650751.0
Wyoming,2009,544391.0
United States,2010,309321666.0
Northeast,2010,
Midwest,2010,
South,2010,
West,2010,
Alabama,2010,4785437.0
Alaska,2010,713910.0
Arizona,2010,6407172.0
Arkansas,2010,2921964.0
California,2010,37319502.0
Colorado,2010,5047349.0
Connecticut,2010,3579114.0
Delaware,2010,899593.0
District of Columbia,2010,605226.0
Florida,2010,18845537.0
Georgia,2010,9711881.0
Hawaii,2010,1363963.0
Idaho,2010,1570746.0
Illinois,2010,12840503.0
Indiana,2010,6490432.0
Iowa,2010,3050745.0
Kansas,2010,2858190.0
Kentucky,2010,4348181.0
Louisiana,2010,4544532.0
Maine,2010,1327629.0
Maryland,2010,5788645.0
Massachusetts,2010,6566307.0
Michigan,2010,9877510.0
Minnesota,2010,5310828.0
Mississippi,2010,2970548.0
Missouri,2010,5995974.0
Montana,2010,990697.0
Nebraska,2010,1829542.0
Nevada,2010,2702405.0
New Hampshire,2010,1316762.0
New Jersey,2010,8799446.0
New Mexico,2010,2064552.0
New York,2010,19399878.0
North Carolina,2010,9574323.0
North Dakota,2010,674715.0
Ohio,2010,11539336.0
Oklahoma,2010,3759944.0
Oregon,2010,3837491.0
Pennsylvania,2010,12711160.0
Rhode Island,2010,1053959.0
South Carolina,2010,4635649.0
South Dakota,2010,816166.0
Tennessee,2010,6355311.0
Texas,2010,25241971.0
Utah,2010,2775332.0
Vermont,2010,625879.0
Virginia,2010,8023699.0
Washington,2010,6742830.0
West Virginia,2010,1854239.0
Wisconsin,2010,5690475.0
Wyoming,2010,564487.0
United States,2011,311556874.0
Northeast,2011,
Midwest,2011,
South,2011,
West,2011,
Alabama,2011,4799069.0
Alaska,2011,722128.0
Arizona,2011,6472643.0
Arkansas,2011,2940667.0
California,2011,37638369.0
Colorado,2011,5121108.0
Connecticut,2011,3588283.0
Delaware,2011,907381.0
District of Columbia,2011,619800.0
Florida,2011,19053237.0
Georgia,2011,9802431.0
Hawaii,2011,1379329.0
Idaho,2011,1583910.0
Illinois,2011,12867454.0
Indiana,2011,6516528.0
Iowa,2011,3066336.0
Kansas,2011,2869225.0
Kentucky,2011,4369821.0
Louisiana,2011,4575625.0
Maine,2011,1328284.0
Maryland,2011,5839419.0
Massachusetts,2011,6613583.0
Michigan,2011,9882412.0
Minnesota,2011,5346143.0
Mississippi,2011,2978731.0
Missouri,2011,6010275.0
Montana,2011,997316.0
Nebraska,2011,1840672.0
Nevada,2011,2712730.0
New Hampshire,2011,1320202.0
New Jersey,2011,8828117.0
New Mexico,2011,2080450.0
New York,2011,19499241.0
North Carolina,2011,9657592.0
North Dakota,2011,685225.0
Ohio,2011,11544663.0
Oklahoma,2011,3788379.0
Oregon,2011,3872036.0
Pennsylvania,2011,12745815.0
Rhode Island,2011,1053649.0
South Carolina,2011,4671994.0
South Dakota,2011,823579.0
Tennessee,2011,6399291.0
Texas,2011,25645629.0
Utah,2011,2814384.0
Vermont,2011,627049.0
Virginia,2011,8101155.0
Washington,2011,6826627.0
West Virginia,2011,1856301.0
Wisconsin,2011,5705288.0
Wyoming,2011,567299.0
United States,2012,313830990.0
Northeast,2012,
Midwest,2012,
South,2012,
West,2012,
Alabama,2012,4815588.0
Alaska,2012,730443.0
Arizona,2012,6554978.0
Arkansas,2012,2952164.0
California,2012,37948800.0
Colorado,2012,5192647.0
Connecticut,2012,3594547.0
Delaware,2012,915179.0
District of Columbia,2012,634924.0
Florida,2012,19297822.0
Georgia,2012,9901430.0
Hawaii,2012,1394804.0
Idaho,2012,1595324.0
Illinois,2012,12882510.0
Indiana,2012,6537703.0
Iowa,2012,3076190.0
Kansas,2012,2885257.0
Kentucky,2012,4386346.0
Louisiana,2012,4600972.0
Maine,2012,1327729.0
Maryland,2012,5886992.0
Massachusetts,2012,6663005.0
Michigan,2012,9897145.0
Minnesota,2012,5376643.0
Mississippi,2012,2983816.0
Missouri,2012,6024367.0
Montana,2012,1003783.0
Nebraska,2012,1853303.0
Nevada,2012,2743996.0
New Hampshire,2012,1324232.0
New Jersey,2012,8844942.0
New Mexico,2012,2087309.0
New York,2012,19572932.0
North Carolina,2012,9749476.0
North Dakota,2012,701176.0
Ohio,2012,11548923.0
Oklahoma,2012,3818814.0
Oregon,2012,3899001.0
Pennsylvania,2012,12767118.0
Rhode Island,2012,1054621.0
South Carolina,2012,4717354.0
South Dakota,2012,833566.0
Tennessee,2012,6453898.0
Texas,2012,26084481.0
Utah,2012,2853375.0
Vermont,2012,626090.0
Virginia,2012,8185080.0
Washington,2012,6897058.0
West Virginia,2012,1856872.0
Wisconsin,2012,5719960.0
Wyoming,2012,576305.0
United States,2013,315993715.0
Northeast,2013,
Midwest,2013,
South,2013,
West,2013,
Alabama,2013,4830081.0
Alaska,2013,737068.0
Arizona,2013,6632764.0
Arkansas,2013,2959400.0
California,2013,38260787.0
Colorado,2013,5269035.0
Connecticut,2013,3594841.0
Delaware,2013,923576.0
District of Columbia,2013,650581.0
Florida,2013,19545621.0
Georgia,2013,9972479.0
Hawaii,2013,1408243.0
Idaho,2013,1611206.0
Illinois,2013,12895129.0
Indiana,2013,6568713.0
Iowa,2013,3092997.0
Kansas,2013,2893212.0
Kentucky,2013,4404659.0
Louisiana,2013,4624527.0
Maine,2013,1328009.0
Maryland,2013,5923188.0
Massachusetts,2013,6713315.0
Michigan,2013,9913065.0
Minnesota,2013,5413479.0
Mississippi,2013,2988711.0
Missouri,2013,6040715.0
Montana,2013,1013569.0
Nebraska,2013,1865279.0
Nevada,2013,2775970.0
New Hampshire,2013,1326622.0
New Jersey,2013,8856972.0
New Mexico,2013,2092273.0
New York,2013,19624447.0
North Carolina,2013,9843336.0
North Dakota,2013,722036.0
Ohio,2013,11576684.0
Oklahoma,2013,3853214.0
Oregon,2013,3922468.0
Pennsylvania,2013,12776309.0
Rhode Island,2013,1055081.0
South Carolina,2013,4764080.0
South Dakota,2013,842316.0
Tennessee,2013,6494340.0
Texas,2013,26480266.0
Utah,2013,2897640.0
Vermont,2013,626210.0
Virginia,2013,8252427.0
Washington,2013,6963985.0
West Virginia,2013,1853914.0
Wisconsin,2013,5736754.0
Wyoming,2013,582122.0
United States,2014,318301008.0
Northeast,2014,
Midwest,2014,
South,2014,
West,2014,
Alabama,2014,4841799.0
Alaska,2014,736283.0
Arizona,2014,6730413.0
Arkansas,2014,2967392.0
California,2014,38596972.0
Colorado,2014,5350101.0
Connecticut,2014,3594524.0
Delaware,2014,932487.0
District of Columbia,2014,662328.0
Florida,2014,19845911.0
Georgia,2014,10067278.0
Hawaii,2014,1414538.0
Idaho,2014,1631112.0
Illinois,2014,12884493.0
Indiana,2014,6593644.0
Iowa,2014,3109350.0
Kansas,2014,2900475.0
Kentucky,2014,4414349.0
Louisiana,2014,4644013.0
Maine,2014,1330513.0
Maryland,2014,5957283.0
Massachusetts,2014,6762596.0
Michigan,2014,9929848.0
Minnesota,2014,5451079.0
Mississippi,2014,2990468.0
Missouri,2014,6056202.0
Montana,2014,1021869.0
Nebraska,2014,1879321.0
Nevada,2014,2817628.0
New Hampshire,2014,1333341.0
New Jersey,2014,8864525.0
New Mexico,2014,2089568.0
New York,2014,19651049.0
North Carolina,2014,9932887.0
North Dakota,2014,737401.0
Ohio,2014,11602700.0
Oklahoma,2014,3878187.0
Oregon,2014,3963244.0
Pennsylvania,2014,12788313.0
Rhode Island,2014,1055936.0
South Carolina,2014,4823617.0
South Dakota,2014,849129.0
Tennessee,2014,6541223.0
Texas,2014,26964333.0
Utah,2014,2936879.0
Vermont,2014,625214.0
Virginia,2014,8310993.0
Washington,2014,7054655.0
West Virginia,2014,1849489.0
Wisconsin,2014,5751525.0
Wyoming,2014,582531.0
United States,2015,320635163.0
Northeast,2015,
Midwest,2015,
South,2015,
West,2015,
Alabama,2015,4852347.0
Alaska,2015,737498.0
Arizona,2015,6829676.0
Arkansas,2015,2978048.0
California,2015,38918045.0
Colorado,2015,5450623.0
Connecticut,2015,3587122.0
Delaware,2015,941252.0
District of Columbia,2015,675400.0
Florida,2015,20209042.0
Georgia,2015,10178447.0
Hawaii,2015,1422052.0
Idaho,2015,1651059.0
Illinois,2015,12858913.0
Indiana,2015,6608422.0
Iowa,2015,3120960.0
Kansas,2015,2909011.0
Kentucky,2015,4425976.0
Louisiana,2015,4664628.0
Maine,2015,1328262.0
Maryland,2015,5985562.0
Massachusetts,2015,6794228.0
Michigan,2015,9931715.0
Minnesota,2015,5482032.0
Mississippi,2015,2988471.0
Missouri,2015,6071732.0
Montana,2015,1030475.0
Nebraska,2015,1891277.0
Nevada,2015,2866939.0
New Hampshire,2015,1336350.0
New Jersey,2015,8867949.0
New Mexico,2015,2089291.0
New York,2015,19654666.0
North Carolina,2015,10031646.0
North Dakota,2015,754066.0
Ohio,2015,11617527.0
Oklahoma,2015,3909500.0
Oregon,2015,4015792.0
Pennsylvania,2015,12784826.0
Rhode Island,2015,1056065.0
South Carolina,2015,4891938.0
South Dakota,2015,853988.0
Tennessee,2015,6591170.0
Texas,2015,27470056.0
Utah,2015,2981835.0
Vermont,2015,625216.0
Virginia,2015,8361808.0
Washington,2015,7163657.0
West Virginia,2015,1842050.0
Wisconsin,2015,5760940.0
Wyoming,2015,585613.0
United States,2016,322941311.0
Northeast,2016,
Midwest,2016,
South,2016,
West,2016,
Alabama,2016,4863525.0
Alaska,2016,741456.0
Arizona,2016,6941072.0
Arkansas,2016,2989918.0
California,2016,39167117.0
Colorado,2016,5539215.0
Connecticut,2016,3578141.0
Delaware,2016,948921.0
District of Columbia,2016,685815.0
Florida,2016,20613477.0
Georgia,2016,10301890.0
Hawaii,2016,1427559.0
Idaho,2016,1682380.0
Illinois,2016,12820527.0
Indiana,2016,6634304.0
Iowa,2016,3131371.0
Kansas,2016,2910844.0
Kentucky,2016,4438182.0
Louisiana,2016,4678135.0
Maine,2016,1331317.0
Maryland,2016,6003323.0
Massachusetts,2016,6823608.0
Michigan,2016,9950571.0
Minnesota,2016,5522744.0
Mississippi,2016,2987938.0
Missouri,2016,6087135.0
Montana,2016,1040859.0
Nebraska,2016,1905616.0
Nevada,2016,2917563.0
New Hampshire,2016,1342307.0
New Jersey,2016,8870827.0
New Mexico,2016,2091630.0
New York,2016,19633428.0
North Carolina,2016,10154788.0
North Dakota,2016,754434.0
Ohio,2016,11634370.0
Oklahoma,2016,3926331.0
Oregon,2016,4089976.0
Pennsylvania,2016,12782275.0
Rhode Island,2016,1056770.0
South Carolina,2016,4957968.0
South Dakota,2016,862996.0
Tennessee,2016,6646010.0
Texas,2016,27914410.0
Utah,2016,3041868.0
Vermont,2016,623657.0
Virginia,2016,8410106.0
Washington,2016,7294771.0
West Virginia,2016,1831023.0
Wisconsin,2016,5772628.0
Wyoming,2016,584215.0
United States,2017,324985539.0
Northeast,2017,
Midwest,2017,
South,2017,
West,2017,
Alabama,2017,4874486.0
Alaska,2017,739700.0
Arizona,2017,7044008.0
Arkansas,2017,3001345.0
California,2017,39358497.0
Colorado,2017,5611885.0
Connecticut,2017,3573297.0
Delaware,2017,956823.0
District of Columbia,2017,694906.0
Florida,2017,20963613.0
Georgia,2017,10410330.0
Hawaii,2017,1424393.0
Idaho,2017,1717715.0
Illinois,2017,12778828.0
Indiana,2017,6658078.0
Iowa,2017,3141550.0
Kansas,2017,2908718.0
Kentucky,2017,4452268.0
Louisiana,2017,4670560.0
Maine,2017,1334612.0
Maryland,2017,6023868.0
Massachusetts,2017,6859789.0
Michigan,2017,9973114.0
Minnesota,2017,5566230.0
Mississippi,2017,2988510.0
Missouri,2017,6106670.0
Montana,2017,1052482.0
Nebraska,2017,1915947.0
Nevada,2017,2969905.0
New Hampshire,2017,1348787.0
New Jersey,2017,8885525.0
New Mexico,2017,2091784.0
New York,2017,19589572.0
North Carolina,2017,10268233.0
North Dakota,2017,754942.0
Ohio,2017,11659650.0
Oklahoma,2017,3931316.0
Oregon,2017,4143625.0
Pennsylvania,2017,12787641.0
Rhode Island,2017,1055673.0
South Carolina,2017,5021268.0
South Dakota,2017,872868.0
Tennessee,2017,6708799.0
Texas,2017,28295273.0
Utah,2017,3101042.0
