Geographic Area,Year,Uninsured
Delaware,2012,80000.0
District of Columbia,2012,37000.0
Florida,2012,3816000.0
Georgia,2012,1792000.0
Hawaii,2012,92000.0
Idaho,2012,255000.0
Illinois,2012,1622000.0
Indiana,2012,920000.0
Iowa,2012,254000.0
Kansas,2012,356000.0
Kentucky,2012,595000.0
Louisiana,2012,760000.0
Maine,2012,135000.0
Maryland,2012,598000.0
Massachusetts,2012,254000.0
Michigan,2012,1114000.0
Minnesota,2012,425000.0
Mississippi,2012,498000.0
Missouri,2012,801000.0
Montana,2012,178000.0
Nebraska,2012,206000.0
Nevada,2012,603000.0
New Hampshire,2012,139000.0
New Jersey,2012,1113000.0
New Mexico,2012,378000.0
New York,2012,2103000.0
North Carolina,2012,1582000.0
North Dakota,2012,69000.0
Ohio,2012,1304000.0
Oklahoma,2012,685000.0
Oregon,2012,576000.0
Pennsylvania,2012,1225000.0
Rhode Island,2012,115000.0
South Carolina,2012,778000.0
South Dakota,2012,94000.0
Tennessee,2012,882000.0
Texas,2012,5762000.0
Utah,2012,409000.0
Vermont,2012,40000.0
Virginia,2012,1000000.0
Washington,2012,945000.0
West Virginia,2012,264000.0
Wisconsin,2012,506000.0
Wyoming,2012,87000.0
United States,2011,46376000.0
Alabama,2011,674000.0
Arizona,2011,1095000.0
Arkansas,2011,492000.0
California,2011,6726000.0
Colorado,2011,760000.0
Connecticut,2011,309000.0
Delaware,2011,84000.0
District of Columbia,2011,42000.0
Florida,2011,3911000.0
Georgia,2011,1883000.0
Hawaii,2011,94000.0
Idaho,2011,259000.0
Illinois,2011,1659000.0
Indiana,2011,931000.0
Iowa,2011,269000.0
Kansas,2011,355000.0
Kentucky,2011,618000.0
Louisiana,2011,784000.0
Maine,2011,140000.0
Maryland,2011,598000.0
Massachusetts,2011,277000.0
Michigan,2011,1150000.0
Minnesota,2011,467000.0
Mississippi,2011,516000.0
Missouri,2011,807000.0
Montana,2011,180000.0
Nebraska,2011,207000.0
Nevada,2011,589000.0
New Hampshire,2011,137000.0
New Jersey,2011,1139000.0
New Mexico,2011,406000.0
New York,2011,2195000.0
North Carolina,2011,1545000.0
North Dakota,2011,65000.0
Ohio,2011,1354000.0
Oklahoma,2011,694000.0
Oregon,2011,602000.0
Pennsylvania,2011,1265000.0
Rhode Island,2011,112000.0
South Carolina,2011,766000.0
South Dakota,2011,96000.0
Tennessee,2011,923000.0
Texas,2011,5790000.0
Utah,2011,426000.0
Vermont,2011,41000.0
Virginia,2011,983000.0
Washington,2011,953000.0
West Virginia,2011,272000.0
Wisconsin,2011,507000.0
Wyoming,2011,86000.0
United States,2010,47208000.0
Alabama,2010,687000.0
Arizona,2010,1065000.0
Arkansas,2010,501000.0
California,2010,6825000.0
Colorado,2010,789000.0
Connecticut,2010,320000.0
Delaware,2010,86000.0
District of Columbia,2010,45000.0
Florida,2010,3941000.0
Georgia,2010,1876000.0
Hawaii,2010,104000.0
Idaho,2010,275000.0
Illinois,2010,1746000.0
Indiana,2010,948000.0
Iowa,2010,280000.0
Kansas,2010,389000.0
Kentucky,2010,647000.0
Louisiana,2010,791000.0
Maine,2010,133000.0
Maryland,2010,641000.0
Massachusetts,2010,286000.0
Michigan,2010,1207000.0
Minnesota,2010,476000.0
Mississippi,2010,528000.0
Missouri,2010,774000.0
Montana,2010,169000.0
Nebraska,2010,208000.0
Nevada,2010,604000.0
New Hampshire,2010,145000.0
New Jersey,2010,1151000.0
New Mexico,2010,399000.0
New York,2010,2277000.0
North Carolina,2010,1570000.0
North Dakota,2010,65000.0
Ohio,2010,1399000.0
Oklahoma,2010,694000.0
Oregon,2010,652000.0
Pennsylvania,2010,1271000.0
Rhode Island,2010,126000.0
South Carolina,2010,795000.0
South Dakota,2010,99000.0
Tennessee,2010,899000.0
Texas,2010,5875000.0
Utah,2010,422000.0
Vermont,2010,50000.0
Virginia,2010,1020000.0
Washington,2010,946000.0
West Virginia,2010,266000.0
Wisconsin,2010,529000.0
Wyoming,2010,83000.0
United States,2009,45665000.0
Alabama,2009,637000.0
Arizona,2009,1127000.0
Arkansas,2009,483000.0
California,2009,6559000.0
Colorado,2009,778000.0
Connecticut,2009,305000.0
Delaware,2009,89000.0
District of Columbia,2009,41000.0
Florida,2009,3795000.0
Georgia,2009,1836000.0
Hawaii,2009,86000.0
Idaho,2009,264000.0
Illinois,2009,1694000.0
Indiana,2009,901000.0
Iowa,2009,255000.0
Kansas,2009,363000.0
Kentucky,2009,613000.0
Louisiana,2009,762000.0
Maine,2009,137000.0
Maryland,2009,621000.0
Massachusetts,2009,271000.0
Michigan,2009,1203000.0
Minnesota,2009,473000.0
Mississippi,2009,514000.0
Missouri,2009,774000.0
Montana,2009,174000.0
Nebraska,2009,210000.0
Nevada,2009,572000.0
New Hampshire,2009,134000.0
New Jersey,2009,1084000.0
New Mexico,2009,390000.0
New York,2009,2195000.0
North Carolina,2009,1471000.0
North Dakota,2009,61000.0
Ohio,2009,1383000.0
Oklahoma,2009,672000.0
Oregon,2009,643000.0
Pennsylvania,2009,1220000.0
Rhode Island,2009,117000.0
South Carolina,2009,750000.0
South Dakota,2009,104000.0
Tennessee,2009,883000.0
Texas,2009,5783000.0
Utah,2009,401000.0
Vermont,2009,53000.0
Virginia,2009,908000.0
Washington,2009,878000.0
West Virginia,2009,254000.0
Wisconsin,2009,521000.0
Wyoming,2009,81000.0
United States,2008,43503000.0
Alabama,2008,609000.0
Arizona,2008,1154000.0
Arkansas,2008,480000.0
California,2008,6239000.0
Colorado,2008,812000.0
Connecticut,2008,302000.0
Delaware,2008,85000.0
District of Columbia,2008,44000.0
Florida,2008,3639000.0
Georgia,2008,1725000.0
Hawaii,2008,80000.0
Idaho,2008,257000.0
Illinois,2008,1575000.0
Indiana,2008,839000.0
Iowa,2008,256000.0
Kansas,2008,313000.0
Kentucky,2008,551000.0
Louisiana,2008,733000.0
Maine,2008,135000.0
Maryland,2008,595000.0
Massachusetts,2008,249000.0
Michigan,2008,1081000.0
Minnesota,2008,433000.0
Mississippi,2008,486000.0
Missouri,2008,720000.0
Montana,2008,166000.0
Nebraska,2008,189000.0
Nevada,2008,532000.0
New Hampshire,2008,136000.0
New Jersey,2008,1025000.0
New Mexico,2008,404000.0
New York,2008,2194000.0
North Carolina,2008,1391000.0
North Dakota,2008,63000.0
Ohio,2008,1282000.0
Oklahoma,2008,664000.0
Oregon,2008,593000.0
Pennsylvania,2008,1103000.0
Rhode Island,2008,105000.0
South Carolina,2008,731000.0
South Dakota,2008,87000.0
Tennessee,2008,790000.0
Texas,2008,5564000.0
Utah,2008,405000.0
Vermont,2008,54000.0
Virginia,2008,871000.0
Washington,2008,807000.0
West Virginia,2008,265000.0
Wisconsin,2008,489000.0
Wyoming,2008,72000.0
United States,2007,45657000.0
Alabama,2007,549000.0
Arizona,2007,1164000.0
Arkansas,2007,451000.0
California,2007,6613000.0
Colorado,2007,801000.0
Connecticut,2007,326000.0
Delaware,2007,96000.0
District of Columbia,2007,55000.0
Florida,2007,3648000.0
Georgia,2007,1662000.0
Hawaii,2007,96000.0
Idaho,2007,209000.0
Illinois,2007,1700000.0
Indiana,2007,717000.0
Iowa,2007,275000.0
Kansas,2007,345000.0
Kentucky,2007,570000.0
Louisiana,2007,776000.0
Maine,2007,115000.0
Maryland,2007,762000.0
Massachusetts,2007,340000.0
Michigan,2007,1151000.0
Minnesota,2007,433000.0
Mississippi,2007,545000.0
Missouri,2007,729000.0
Montana,2007,146000.0
Nebraska,2007,232000.0
Nevada,2007,441000.0
New Hampshire,2007,137000.0
New Jersey,2007,1348000.0
New Mexico,2007,437000.0
New York,2007,2519000.0
North Carolina,2007,1510000.0
North Dakota,2007,61000.0
Ohio,2007,1322000.0
Oklahoma,2007,631000.0
Oregon,2007,632000.0
Pennsylvania,2007,1176000.0
Rhode Island,2007,113000.0
South Carolina,2007,721000.0
South Dakota,2007,80000.0
Tennessee,2007,883000.0
Texas,2007,5962000.0
Utah,2007,340000.0
Vermont,2007,69000.0
Virginia,2007,1135000.0
Washington,2007,737000.0
West Virginia,2007,254000.0
Wisconsin,2007,451000.0
Wyoming,2007,70000.0
United States,2006,46995000.0
Alabama,2006,689000.0
Arizona,2006,1311000.0
Arkansas,2006,521000.0
California,2006,6791000.0
Colorado,2006,826000.0
Connecticut,2006,325000.0
Delaware,2006,105000.0
District of Columbia,2006,66000.0
Florida,2006,3828000.0
Georgia,2006,1659000.0
Hawaii,2006,110000.0
Idaho,2006,227000.0
Illinois,2006,1776000.0
Indiana,2006,748000.0
Iowa,2006,307000.0
Kansas,2006,335000.0
Kentucky,2006,639000.0
Louisiana,2006,921000.0
Maine,2006,122000.0
Maryland,2006,776000.0
Massachusetts,2006,657000.0
Michigan,2006,1043000.0
Minnesota,2006,475000.0
Mississippi,2006,600000.0
Missouri,2006,772000.0
Montana,2006,160000.0
Nebraska,2006,217000.0
Nevada,2006,496000.0
New Hampshire,2006,150000.0
New Jersey,2006,1341000.0
New Mexico,2006,445000.0
New York,2006,2662000.0
North Carolina,2006,1585000.0
North Dakota,2006,75000.0
Ohio,2006,1138000.0
Oklahoma,2006,661000.0
Oregon,2006,665000.0
Pennsylvania,2006,1237000.0
Rhode Island,2006,91000.0
South Carolina,2006,672000.0
South Dakota,2006,91000.0
Tennessee,2006,809000.0
Texas,2006,5704000.0
Utah,2006,442000.0
Vermont,2006,63000.0
Virginia,2006,1006000.0
Washington,2006,746000.0
West Virginia,2006,245000.0
Wisconsin,2006,481000.0
Wyoming,2006,75000.0
United States,2005,44815000.0
Alabama,2005,657000.0
Arizona,2005,1183000.0
Arkansas,2005,482000.0
California,2005,6757000.0
Colorado,2005,772000.0
Connecticut,2005,381000.0
Delaware,2005,103000.0
District of Columbia,2005,71000.0
Florida,2005,3616000.0
Georgia,2005,1654000.0
Hawaii,2005,110000.0
Idaho,2005,213000.0
Illinois,2005,1730000.0
Indiana,2005,832000.0
Iowa,2005,241000.0
Kansas,2005,278000.0
Kentucky,2005,498000.0
Louisiana,2005,725000.0
Maine,2005,136000.0
Maryland,2005,746000.0
Massachusetts,2005,583000.0
Michigan,2005,1033000.0
Minnesota,2005,408000.0
Mississippi,2005,483000.0
Missouri,2005,668000.0
Montana,2005,145000.0
Nebraska,2005,185000.0
Nevada,2005,418000.0
New Hampshire,2005,126000.0
New Jersey,2005,1265000.0
New Mexico,2005,393000.0
New York,2005,2474000.0
North Carolina,2005,1312000.0
North Dakota,2005,69000.0
Ohio,2005,1288000.0
Oklahoma,2005,627000.0
Oregon,2005,566000.0
Pennsylvania,2005,1196000.0
Rhode Island,2005,122000.0
South Carolina,2005,721000.0
South Dakota,2005,90000.0
Tennessee,2005,798000.0
Texas,2005,5394000.0
Utah,2005,414000.0
Vermont,2005,72000.0
Virginia,2005,951000.0
Washington,2005,828000.0
West Virginia,2005,304000.0
Wisconsin,2005,509000.0
Wyoming,2005,75000.0
United States,2004,43498000.0
Alabama,2004,562000.0
Arizona,2004,961000.0
Arkansas,2004,441000.0
California,2004,6441000.0
Colorado,2004,719000.0
Connecticut,2004,381000.0
Delaware,2004,110000.0
District of Columbia,2004,67000.0
Florida,2004,3382000.0
Georgia,2004,1469000.0
Hawaii,2004,104000.0
Idaho,2004,200000.0
Illinois,2004,1640000.0
Indiana,2004,847000.0
Iowa,2004,266000.0
Kansas,2004,286000.0
Kentucky,2004,556000.0
Louisiana,2004,707000.0
Maine,2004,115000.0
Maryland,2004,742000.0
Massachusetts,2004,720000.0
Michigan,2004,1109000.0
Minnesota,2004,434000.0
Mississippi,2004,478000.0
Missouri,2004,670000.0
Montana,2004,166000.0
Nebraska,2004,180000.0
Nevada,2004,440000.0
New Hampshire,2004,131000.0
New Jersey,2004,1201000.0
New Mexico,2004,377000.0
New York,2004,2402000.0
North Carolina,2004,1252000.0
North Dakota,2004,63000.0
Ohio,2004,1193000.0
Oklahoma,2004,661000.0
Oregon,2004,583000.0
Pennsylvania,2004,1331000.0
Rhode Island,2004,109000.0
South Carolina,2004,608000.0
South Dakota,2004,84000.0
Tennessee,2004,766000.0
Texas,2004,5405000.0
Utah,2004,318000.0
Vermont,2004,65000.0
Virginia,2004,986000.0
Washington,2004,759000.0
West Virginia,2004,289000.0
Wisconsin,2004,551000.0
Wyoming,2004,64000.0
United States,2003,43404000.0
Alabama,2003,586000.0
Arizona,2003,929000.0
Arkansas,2003,457000.0
California,2003,6322000.0
Colorado,2003,745000.0
Connecticut,2003,346000.0
Delaware,2003,86000.0
District of Columbia,2003,76000.0
Florida,2003,2969000.0
Georgia,2003,1372000.0
Hawaii,2003,119000.0
Idaho,2003,247000.0
Illinois,2003,1761000.0
Indiana,2003,792000.0
Iowa,2003,318000.0
Kansas,2003,275000.0
Kentucky,2003,540000.0
Louisiana,2003,866000.0
Maine,2003,128000.0
Maryland,2003,733000.0
Massachusetts,2003,647000.0
Michigan,2003,1013000.0
Minnesota,2003,420000.0
Mississippi,2003,501000.0
Missouri,2003,605000.0
Montana,2003,173000.0
Nebraska,2003,181000.0
Nevada,2003,410000.0
New Hampshire,2003,122000.0
New Jersey,2003,1149000.0
New Mexico,2003,410000.0
New York,2003,2784000.0
North Carolina,2003,1398000.0
North Dakota,2003,61000.0
Ohio,2003,1290000.0
Oklahoma,2003,686000.0
Oregon,2003,590000.0
Pennsylvania,2003,1298000.0
Rhode Island,2003,104000.0
South Carolina,2003,555000.0
South Dakota,2003,86000.0
Tennessee,2003,748000.0
Texas,2003,5249000.0
Utah,2003,290000.0
Vermont,2003,56000.0
Virginia,2003,922000.0
Washington,2003,934000.0
West Virginia,2003,292000.0
Wisconsin,2003,569000.0
Wyoming,2003,74000.0
United States,2002,42019000.0
Alabama,2002,539000.0
Arizona,2002,887000.0
Arkansas,2002,431000.0
California,2002,6231000.0
Colorado,2002,676000.0
Connecticut,2002,331000.0
Delaware,2002,75000.0
District of Columbia,2002,72000.0
Florida,2002,2740000.0
Georgia,2002,1321000.0
Hawaii,2002,120000.0
Idaho,2002,225000.0
Illinois,2002,1694000.0
Indiana,2002,750000.0
Iowa,2002,262000.0
Kansas,2002,266000.0
Kentucky,2002,528000.0
Louisiana,2002,793000.0
Maine,2002,140000.0
Maryland,2002,674000.0
Massachusetts,2002,614000.0
Michigan,2002,1079000.0
Minnesota,2002,376000.0
Mississippi,2002,450000.0
Missouri,2002,622000.0
Montana,2002,133000.0
Nebraska,2002,161000.0
Nevada,2002,412000.0
New Hampshire,2002,120000.0
New Jersey,2002,1157000.0
New Mexico,2002,379000.0
New York,2002,2947000.0
North Carolina,2002,1337000.0
North Dakota,2002,63000.0
Ohio,2002,1252000.0
Oklahoma,2002,592000.0
Oregon,2002,494000.0
Pennsylvania,2002,1285000.0
Rhode Island,2002,99000.0
South Carolina,2002,483000.0
South Dakota,2002,81000.0
Tennessee,2002,590000.0
Texas,2002,5476000.0
Utah,2002,294000.0
Vermont,2002,64000.0
Virginia,2002,902000.0
Washington,2002,837000.0
West Virginia,2002,251000.0
Wisconsin,2002,517000.0
Wyoming,2002,82000.0
United States,2001,39760000.0
Alabama,2001,548000.0
Arizona,2001,933000.0
Arkansas,2001,419000.0
California,2001,6573000.0
Colorado,2001,659000.0
Connecticut,2001,321000.0
Delaware,2001,71000.0
District of Columbia,2001,67000.0
Florida,2001,2785000.0
Georgia,2001,1312000.0
Hawaii,2001,111000.0
Idaho,2001,205000.0
Illinois,2001,1616000.0
Indiana,2001,674000.0
Iowa,2001,211000.0
Kansas,2001,288000.0
Kentucky,2001,459000.0
Louisiana,2001,799000.0
Maine,2001,129000.0
Maryland,2001,623000.0
Massachusetts,2001,479000.0
Michigan,2001,966000.0
Minnesota,2001,371000.0
Mississippi,2001,448000.0
Missouri,2001,525000.0
Montana,2001,119000.0
Nebraska,2001,146000.0
Nevada,2001,328000.0
New Hampshire,2001,113000.0
New Jersey,2001,1076000.0
New Mexico,2001,364000.0
New York,2001,2831000.0
North Carolina,2001,1111000.0
North Dakota,2001,55000.0
Ohio,2001,1198000.0
Oklahoma,2001,597000.0
Oregon,2001,432000.0
Pennsylvania,2001,1050000.0
Rhode Island,2001,77000.0
South Carolina,2001,473000.0
South Dakota,2001,64000.0
Tennessee,2001,598000.0
Texas,2001,4896000.0
Utah,2001,322000.0
Vermont,2001,55000.0
Virginia,2001,704000.0
Washington,2001,771000.0
West Virginia,2001,226000.0
Wisconsin,2001,392000.0
Wyoming,2001,73000.0
United States,2000,38426000.0
Alabama,2000,557000.0
Arizona,2000,834000.0
Arkansas,2000,367000.0
California,2000,6154000.0
Colorado,2000,598000.0
Connecticut,2000,313000.0
Delaware,2000,69000.0
District of Columbia,2000,75000.0
Florida,2000,2727000.0
Georgia,2000,1145000.0
Hawaii,2000,110000.0
Idaho,2000,194000.0
Illinois,2000,1632000.0
Indiana,2000,650000.0
Iowa,2000,239000.0
Kansas,2000,274000.0
Kentucky,2000,521000.0
Louisiana,2000,755000.0
Maine,2000,135000.0
Maryland,2000,511000.0
Massachusetts,2000,527000.0
Michigan,2000,838000.0
Minnesota,2000,368000.0
Mississippi,2000,361000.0
Missouri,2000,511000.0
Montana,2000,146000.0
Nebraska,2000,140000.0
Nevada,2000,336000.0
New Hampshire,2000,99000.0
New Jersey,2000,985000.0
New Mexico,2000,426000.0
New York,2000,3001000.0
North Carolina,2000,1046000.0
North Dakota,2000,66000.0
Ohio,2000,1191000.0
Oklahoma,2000,624000.0
Oregon,2000,417000.0
Pennsylvania,2000,963000.0
Rhode Island,2000,74000.0
South Carolina,2000,473000.0
South Dakota,2000,77000.0
Tennessee,2000,585000.0
Texas,2000,4650000.0
Utah,2000,259000.0
Vermont,2000,50000.0
Virginia,2000,747000.0
Washington,2000,772000.0
West Virginia,2000,247000.0
Wisconsin,2000,398000.0
Wyoming,2000,74000.0
United States,1999,38767000.0
Alabama,1999,571000.0
Arizona,1999,996000.0
Arkansas,1999,357000.0
California,1999,6459000.0
Colorado,1999,660000.0
Connecticut,1999,291000.0
Delaware,1999,73000.0
